NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
862,E0330100017111,御明神小学校,岩手県雫石町上野上屋敷26,1,,,39.695040069162,140.94584339981,
863,E0330100018111,御明神公民館,岩手県雫石町上野上野沢5,1,,,39.692600455242,140.9465249957,
864,E0330100020111,御所公民館,岩手県雫石町西安庭40-48-9,1,,,39.661517263364,140.96782757105,
865,E0330100021111,御所小学校,岩手県雫石町西安庭41-152-1,1,,,39.662637316442,140.97289382794,
866,E0330100022111,旧西根小学校,岩手県雫石町西根上駒木野320-2,1,,,39.74133702,140.9522079,
867,E0330100023111,西根保育所,岩手県雫石町西根大宮136-9,1,,,39.738356078637,140.95287070735,
868,E0330100034111,青少年ホーム,岩手県雫石町千刈田5-4,1,,,39.696666,140.975942,
869,E0330100026111,西山小学校,岩手県雫石町長山羽上81,1,,,39.71666221,140.9732954,
870,E0330100028111,西山公民館,岩手県雫石町長山西寄内95-1,1,,,39.735390889451,140.96426697029,
871,E0330100030111,旧上長山小学校,岩手県雫石町長山早坂260,1,,,39.75729137,140.9628061,
872,E0330100031111,旧大村小学校,岩手県雫石町南畑14-2,1,,,39.599526126221,140.9241720724,
873,E0330100032111,鶯宿温泉スポーツセンター,岩手県雫石町南畑32-15-26,1,,,39.644530514,140.94307998857,
874,E0344100053111,下有住地区公民館,岩手県住田町下有住字中上100-5,,,,39.187271,141.557946,
875,E0344100004111,生涯スポーツセンター,岩手県住田町下有住字中上291,1,,,39.187357,141.556639,
876,E0344100005111,有住保育園,岩手県住田町上有住字山脈地107-1,1,,,39.19938693,141.5903445,
877,E0344100056111,上有住地区公民館,岩手県住田町上有住字山脈地15-1,1,,,39.197332,141.588104,
878,E0344100055111,有住小学校体育館,岩手県住田町上有住字山脈地5-2,,,,39.197706,141.588851,
879,E0344100009111,五葉地区公民館,岩手県住田町上有住字中埣63,1,,,39.20197672,141.6497023,
880,E0344100054111,旧有住中学校体育館,岩手県住田町上有住字櫃割12-1,,,,39.19616,141.587179,
881,E0344100017111,大股地区公民館,岩手県住田町世田米字下大股66-1,1,,,39.14610677,141.4920212,
882,E0344100018112,世田米保育園,岩手県住田町世田米字火石33-1,1,,,39.136872,141.57786,
